sale_id,employee_name,region,product,sales_amount
1,Kavya,South,Laptop,65000
2,Rahul,South,Mobile,45000
3,Ananya,North,Laptop,75000
4,Arjun,North,Mobile,50000
5,Sneha,East,Laptop,85000
6,Ravi,East,Tablet,40000
7,Priya,West,Laptop,70000
8,Kiran,West,Mobile,55000
,,,,
,,,,
sale_id,employee_name,region,product,sales_amount
1,Kavya,South,Laptop,65000
3,Ananya,North,Laptop,75000
5,Sneha,East,Laptop,85000
7,Priya,West,Laptop,70000
,,,,
,,,,
sale_id,employee_name,region,product,sales_amount
7,Priya,West,Laptop,70000
1,Kavya,South,Laptop,65000
3,Ananya,North,Laptop,75000
5,Sneha,East,Laptop,85000
,,,,
,,,,
sale_id,employee_name,region,product,sales_amount
1,Kavya,South,Laptop,65000
3,Ananya,North,Laptop,75000
5,Sneha,East,Laptop,85000
7,Priya,West,Laptop,70000
,,,,
,,,,
region,total_sales,,,
East,125000,,,
North,125000,,,
West,125000,,,
